File summary (Tue Aug 14 20:59:59 2018)
---------------------------------------

Filename	Class	TestId (can be used as param to AllTests)	Number of Tests	Number of Suites	Number of manual Suites	Parent Class	has JUnit-BEGIN
../src/test/edu/internet2/middleware/grouper/group/TestWrongFieldType.java	TestWrongFieldType	group.TestWrongFieldType	2	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/group/Test_api_Group.java	Test_api_Group	group.Test_api_Group	55	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/group/Test_api_GrouperAPI.java	Test_api_GrouperAPI	group.Test_api_GrouperAPI	2	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/group/Test_Integration_HibernateGroupDAO_delete.java	Test_Integration_HibernateGroupDAO_delete	group.Test_Integration_HibernateGroupDAO_delete	2	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/group/Test_I_API_Group_addCompositeMember.java	Test_I_API_Group_addCompositeMember	group.Test_I_API_Group_addCompositeMember	1	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/group/Test_I_API_Group_delete.java	Test_I_API_Group_delete	group.Test_I_API_Group_delete	3	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/group/Test_I_API_Group_deleteAttribute.java	Test_I_API_Group_deleteAttribute	group.Test_I_API_Group_deleteAttribute	3	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/group/Test_I_API_Group_deleteMember.java	Test_I_API_Group_deleteMember	group.Test_I_API_Group_deleteMember	2	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/helper/GrouperTest.java	GrouperTest	helper.GrouperTest	0	0	0	TestCase	0
../src/test/edu/internet2/middleware/grouper/hibernate/AllHibernateTests.java	AllHibernateTests	hibernate.AllHibernateTests	0	2	0	?	1
../src/test/edu/internet2/middleware/grouper/hibernate/HibernateSessionTest.java	HibernateSessionTest	hibernate.HibernateSessionTest	13	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/hibernate/HibUtilsTest.java	HibUtilsTest	hibernate.HibUtilsTest	2	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/hooks/AllHooksTests.java	AllHooksTests	hooks.AllHooksTests	0	20	1	?	1
../src/test/edu/internet2/middleware/grouper/hooks/AttributeAssignHooksTest.java	AttributeAssignHooksTest	hooks.AttributeAssignHooksTest	9	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/hooks/AttributeAssignValueHooksTest.java	AttributeAssignValueHooksTest	hooks.AttributeAssignValueHooksTest	9	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/hooks/AttributeDefHooksTest.java	AttributeDefHooksTest	hooks.AttributeDefHooksTest	9	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/hooks/AttributeDefNameHooksTest.java	AttributeDefNameHooksTest	hooks.AttributeDefNameHooksTest	9	0	0	GrouperTest	0
